,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
36885,other,other,Software Engineer,9.0,5.0,Distributed Systems (Back-End),Male,807.0,1,0,0,0,0,1,0,0,0,0
55795,microsoft,other,Software Engineer,2.0,1.0,API Development (Back-End),Male,524.0,1,0,0,0,0,1,0,0,0,0
31141,other,L2,Business Analyst,3.0,1.0,Technical,Male,556.0,0,1,0,0,0,0,1,0,0,0
33294,google,L3,Software Engineer,4.0,0.0,other,Male,807.0,0,1,0,0,0,0,0,0,0,1
50628,other,other,Product Manager,5.0,1.0,other,Male,807.0,1,0,0,0,0,0,0,0,1,0
45749,other,other,Technical Program Manager,5.0,5.0,other,Male,501.0,0,1,0,0,0,1,0,0,0,0
57723,other,L6,Product Manager,7.0,1.0,Product,Male,506.0,1,0,0,0,0,0,1,0,0,0
40353,other,L3,Software Engineer,6.0,3.0,Full Stack,Male,0.0,0,0,0,1,0,0,1,0,0,0
46917,other,other,Software Engineer,4.0,4.0,DevOps,Male,504.0,1,0,0,0,0,0,1,0,0,0
30504,other,other,Product Manager,5.0,0.0,Product,Male,524.0,1,0,0,0,0,1,0,0,0,0
56160,amazon,L6,Technical Program Manager,16.0,5.0,other,Male,0.0,0,1,0,0,0,1,0,0,0,0
50611,other,other,Software Engineer,2.0,2.0,Full Stack,Male,807.0,0,1,0,0,0,1,0,0,0,0
40759,other,other,Product Designer,3.0,3.0,User Experience (UX),Female,807.0,0,1,0,0,0,0,0,1,0,0
25834,google,L2,Software Engineer,3.0,3.0,ML / AI,Male,807.0,0,1,0,0,0,0,1,0,0,0
32784,apple,other,Data Scientist,10.0,2.0,Data,Male,807.0,0,0,1,0,0,1,0,0,0,0
52029,google,L5,Software Engineer,20.0,14.0,Distributed Systems (Back-End),Male,819.0,1,0,0,0,0,0,1,0,0,0
49921,other,other,Software Engineer,5.0,2.0,other,Male,602.0,1,0,0,0,0,1,0,0,0,0
40073,amazon,L5,Software Engineer,2.0,0.0,other,Male,511.0,0,1,0,0,0,0,1,0,0,0
49040,other,other,Software Engineering Manager,20.0,5.0,Distributed Systems (Back-End),Male,807.0,1,0,0,0,0,0,1,0,0,0
56446,other,other,Software Engineering Manager,25.0,17.0,Full Stack,Male,504.0,0,0,0,0,1,0,1,0,0,0
32503,other,other,Software Engineer,6.0,2.0,Web Development (Front-End),Female,0.0,0,1,0,0,0,1,0,0,0,0
61039,apple,other,Software Engineer,10.0,3.0,other,Male,807.0,0,1,0,0,0,0,0,0,1,0
49038,other,Senior Software Engineer,Software Engineer,12.0,3.0,API Development (Back-End),Male,506.0,1,0,0,0,0,0,1,0,0,0
